is a male,date of birth,gross salary,number of children,education,region
0,1965-09-30,55262.20,1,3,"Hlavní město Praha"
1,1971-08-14,71776.00,1,5,"Hlavní město Praha"
,1997-12-31,53301.40,,3,"Hlavní město Praha"
0,1998-12-17,63001.40,0,3,"Hlavní město Praha"
0,1991-10-24,45777.00,2,1,"Moravskoslezský kraj"
0,1993-11-04,48737.40,1,16,"Hlavní město Praha"
1,1989-03-18,36349.30,4,1,"Moravskoslezský kraj"
1,1989-03-18,36349.30,4,1,"Moravskoslezský kraj"
1,1989-03-18,36349.30,4,1,"Moravskoslezský kraj"
0,19660701,46999.00,0,2,"Moravskoslezský kraj"
,1963-12-24,46999.00,0,2,"Hlavní město Praha"
1,2002-01-28,74599.30,0,4,"Středočeský kraj"
0,1951-01-09,31773.00,3,1,"Středočeský kraj"
1,1983-09-07,74836.00,1,,"Hlavní město Praha"
1,1988-09-08,53508.23,4,3,"Moravskoslezský kraj"
1,1992-05-16,42053.00,2,3,"Hlavní město Praha"
0,1976-06-10,82974.00,0,5,"Hlavní město Praha"
1,1992-12-24,53916.48,1,2,"Středočeský kraj"
0,19910724,,0,3,"Hlavní město Praha"
0,1975-06-28,32286.00,2,1,"Hlavní město Praha"
1,1966-12-29,56483.00,3,-2,"Středočeský kraj"
0,1953-09-20,57568.14,1,1,"Hlavní město Praha"
0,1965-10-21,38766.50,3,1,"Moravskoslezský kraj"
1,1994-11-21,46011.51,2,2,"Středočeský kraj"
0,1991-01-14,69384.30,2,4,"Hlavní město Praha"
1,1989-12-30,89481.10,1,5,"Moravskoslezský kraj"
